g,N,E0,E1,gap,xi_gap,xi_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,1,0.010485831758449,0.010485831758449,-4.5577302893579,1,8
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,2,1.4760647347646e-05,1.4760647347646e-05,-11.123545881512,1,8
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,3,1.2596679076558e-07,1.2596679076558e-07,-15.887247530087,1,8
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,4,8.4459449892595e-10,8.4459449892595e-10,-20.89216448668,1,8
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,5,5.7781874310226e-12,5.7781874310226e-12,-25.876931075674,1,8
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,6,3.9488540475724e-14,3.9488540475724e-14,-30.862765879634,1,8
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,7,2.6922095195531e-16,2.6922095195531e-16,-35.850999248708,1,8
1.4,35,-0.39574116060238,nan,nan,nan,0.19359451024074,17,0,0,8,1.1655173354219e-18,1.1655173354219e-18,-41.293366620703,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,1,0.0082813018995436,0.0082813018995436,-4.7937550887006,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,2,6.3699058431633e-06,6.3699058431633e-06,-11.963925869782,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,3,3.4281279372617e-08,3.4281279372617e-08,-17.188666422658,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,4,1.3485509787309e-10,1.3485509787309e-10,-22.72682026303,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,5,5.4543260234957e-13,5.4543260234957e-13,-28.237197149334,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,6,2.2011608031072e-15,2.2011608031072e-15,-33.749791535922,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,7,8.5516446354794e-18,8.5516446354794e-18,-39.300408054415,1,8
1.5,35,-0.26596884538532,nan,nan,nan,0.17346120414812,17,0,0,8,-3.4558944247975e-19,3.4558944247975e-19,-42.509035464792,1,8
