g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,13,0.038457945775227,0.038457945775227,-3.2581899522286,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,14,0.036106600737594,0.036106600737594,-3.3212795844408,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,15,0.033953387118426,0.033953387118426,-3.3827666621063,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,16,0.031973056060204,0.031973056060204,-3.4428617289805,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,17,0.030144751727971,0.030144751727971,-3.501744443002,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,18,0.028450664859245,0.028450664859245,-3.5595837492893,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,19,0.026875924859932,0.026875924859932,-3.6165243797336,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,20,0.025407598161788,0.025407598161788,-3.6727070094633,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,21,0.024034454748153,0.024034454748153,-3.7282668636371,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,22,0.022746653295545,0.022746653295545,-3.7833372522948,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,23,0.021535441583738,0.021535441583738,-3.8380552552887,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,24,0.020392956985354,0.020392956985354,-3.892565683559,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,1,0.10057671615606,0.10057671615606,-2.2968344978461,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,2,0.084902735701401,0.084902735701401,-2.4662489635526,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,3,0.070987913571962,0.070987913571962,-2.6452456478126,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,4,0.059656083453843,0.059656083453843,-2.8191591498238,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,5,0.050561831058742,0.050561831058742,-2.9845583142387,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,6,0.043212773925636,0.043212773925636,-3.1416191347175,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,7,0.037199444631811,0.037199444631811,-3.2914614470669,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,8,0.032216506240589,0.032216506240589,-3.4352763416072,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,9,0.028040973763525,0.028040973763525,-3.5740884897609,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,10,0.024508716794271,0.024508716794271,-3.7087264371876,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,11,0.021496841587623,0.021496841587623,-3.839849257541,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,12,0.018911580698163,0.018911580698163,-3.9679808092096,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,13,0.01668007914928,0.01668007914928,-4.0935401369021,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,14,0.01474478316466,0.01474478316466,-4.216865942509,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,15,0.013059551155969,0.013059551155969,-4.3382355235676,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,16,0.011586908942579,0.011586908942579,-4.4578793575828,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,17,0.010296076665019,0.010296076665019,-4.5759923626186,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,18,0.0091615247232663,0.0091615247232663,-4.6927426596431,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,19,0.0081618982320402,0.0081618982320402,-4.8082785105839,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,20,0.0072792023434139,0.0072792023434139,-4.922733990989,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,21,0.0064981752667068,0.0064981752667068,-5.036233869691,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,22,0.0058057989367507,0.0058057989367507,-5.1488980442324,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,23,0.0051909109037554,0.0051909109037554,-5.2608460858838,1,24
0.7,50,-16.332160299018,nan,nan,nan,7.6237168995542,0.13116961361176,12,2,2,24,0.004643890561135,0.004643890561135,-5.3722027810712,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,1,0.09433633104742,0.09433633104742,-2.3608888926241,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,2,0.07165489450927,0.07165489450927,-2.6358938156765,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,3,0.053834878611238,0.053834878611238,-2.9218337205468,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,4,0.040773815828743,0.040773815828743,-3.1997151724972,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,5,0.031233227059774,0.031233227059774,-3.4662727809803,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,6,0.024174002061039,0.024174002061039,-3.7224775182864,1,24
