g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,57,0.054183636917159,0.054183636917159,-2.9153763180155,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,58,0.053453875595343,0.053453875595343,-2.92893613534,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,59,0.052735178695026,0.052735178695026,-2.9424725187123,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,60,0.052031759630161,0.052031759630161,-2.9559009847215,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,61,0.051335600362411,0.051335600362411,-2.9693708033077,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,62,0.050655863332464,0.050655863332464,-2.9827002932407,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,63,0.049982433875943,0.049982433875943,-2.9960836577633,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,64,0.04931991296998,0.04931991296998,-3.0094273652865,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,65,0.048666580684041,0.048666580684041,-3.0227627127098,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,66,0.0480237131517,0.0480237131517,-3.0360603660702,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,67,0.047391384683974,0.047391384683974,-3.0493148245231,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,68,0.046769113120605,0.046769113120605,-3.0625322699941,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,69,0.04615310231865,0.04615310231865,-3.0757910977867,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,70,0.045545770841931,0.045545770841931,-3.0890375060865,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,71,0.04494702579011,0.04494702579011,-3.1022706873257,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,72,0.044361354045216,0.044361354045216,-3.1153865929528,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,73,0.043784103855642,0.043784103855642,-3.1284844531435,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,74,0.04321647264255,0.04321647264255,-3.1415335452426,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,75,0.042656188247566,0.042656188247566,-3.15458292184,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,76,0.042102678561796,0.042102678561796,-3.1676439165221,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,77,0.041558405377202,0.041558405377202,-3.1806554826595,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,78,0.04102355506294,0.04102355506294,-3.1936088635174,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,79,0.040497461445859,0.040497461445859,-3.2065159871833,1,160
